countyID,year,unemployment_rate,per_capita_income,bachelors_rate,median_age,poverty_rate,black,native,asian,pac_isl,two_plus_races,hispanic,white_not_hispanic,total_pop,gdp
04012,2019,9.3,22879,12,56.5,,,,,,,,,,
04013,2019,4.5,33279,32.7,36.4,,,,,,,,,,
04015,2019,7.5,26166,12.9,51.6,,,,,,,,,,
04017,2019,12.4,18935,15.3,37.3,,,,,,,,,,
04019,2019,6.2,29707,32.4,38.5,,,,,,,,,,
04021,2019,6.4,24959,19.5,39.3,,,,,,,,,,
04023,2019,7.2,21480,20.4,36.7,,,,,,,,,,
04025,2019,5.3,30341,25.9,53.4,,,,,,,,,,
04027,2019,9.5,21758,15,34.6,,,,,,,,,,
05001,2019,4.1,26386,15.8,40.7,,,,,,,,,,
05003,2019,4.9,23391,12.3,41.7,,,,,,,,,,
05005,2019,4.9,26863,17.9,52.2,,,,,,,,,,
05007,2019,2.1,34442,33.4,35.4,,,,,,,,,,
05009,2019,4.5,24727,16.1,42.3,,,,,,,,,,
05011,2019,7.5,22945,14.3,40.6,,,,,,,,,,
05013,2019,3.9,23688,11.4,44.5,,,,,,,,,,
05015,2019,3.2,25295,21.2,45,,,,,,,,,,
05017,2019,9.9,20232,15.9,43.3,,,,,,,,,,
05019,2019,2,21337,26.6,33.7,,,,,,,,,,
05021,2019,4.7,22505,12.6,42.8,,,,,,,,,,
05023,2019,4.1,27227,15.5,49.4,,,,,,,,,,
05025,2019,4.7,24225,16.2,42.9,,,,,,,,,,
05027,2019,9.8,21189,19.6,35.7,,,,,,,,,,
05029,2019,6.3,25158,15.6,42.5,,,,,,,,,,
05031,2019,5.2,26948,26.2,34.2,,,,,,,,,,
05033,2019,4.2,24547,16,38.6,,,,,,,,,,
05035,2019,8.5,23172,17.4,35.2,,,,,,,,,,
05037,2019,5.2,25380,14.4,40.9,,,,,,,,,,
05039,2019,3,20517,11.9,43.9,,,,,,,,,,
05041,2019,7,19235,14.1,40.1,,,,,,,,,,
05043,2019,3.6,25543,22.8,37.4,,,,,,,,,,
05045,2019,3.3,26913,30.6,32.8,,,,,,,,,,
05047,2019,2.5,20480,12.1,41.2,,,,,,,,,,
05049,2019,6.1,19697,12.2,48.4,,,,,,,,,,
05051,2019,5.5,27171,21.6,45,,,,,,,,,,
05053,2019,3.2,28153,18.7,41,,,,,,,,,,
05055,2019,6.5,23494,16.2,38,,,,,,,,,,
05057,2019,3.1,21521,15.1,40.4,,,,,,,,,,
05059,2019,5.9,21866,13.3,41.3,,,,,,,,,,
05061,2019,5.8,24481,13.6,39.2,,,,,,,,,,
05063,2019,4.8,23733,17.5,39.3,,,,,,,,,,
05065,2019,9.5,21164,13.1,47.9,,,,,,,,,,
05067,2019,7.6,20295,10.1,39.7,,,,,,,,,,
05069,2019,8.4,21472,18,38.7,,,,,,,,,,
05071,2019,3.3,21010,15.4,38.4,,,,,,,,,,
05073,2019,5.7,25876,15.8,47,,,,,,,,,,
05075,2019,6.2,21473,15.4,40.8,,,,,,,,,,
05077,2019,13.5,16968,10.7,42.5,,,,,,,,,,
05079,2019,2.1,14764,9.7,39,,,,,,,,,,
05081,2019,10.3,25759,12.5,42.9,,,,,,,,,,
05083,2019,6,21491,13.3,42,,,,,,,,,,
05085,2019,3.4,27293,20.6,36.2,,,,,,,,,,
05087,2019,3.9,24356,14.2,42.7,,,,,,,,,,
05089,2019,4.6,21395,17.1,52.2,,,,,,,,,,
05091,2019,6.5,23729,16.8,39.5,,,,,,,,,,
05093,2019,7.4,22750,13.8,36.6,,,,,,,,,,
05095,2019,6.4,23538,12.7,47.3,,,,,,,,,,
05097,2019,6.8,22631,13.5,50.4,,,,,,,,,,
05099,2019,6.1,19912,14.6,44.3,,,,,,,,,,
05101,2019,3.8,19735,20.5,49,,,,,,,,,,
