countyID,landCoverCode,squareMiles
01001,0002,20.6423938
01001,0003,18.04672631
01001,0004,11.85073582
01001,0007,7.404175847
01001,0010,21.46239467
01001,0011,41.68875475
01001,0012,2.558738017
01001,0020,465.7582227
01001,0023,0.557089574
01003,0001,18.30092856
01003,0002,94.65756344
01003,0003,95.70782339
01003,0004,9.031116184
01003,0010,27.33489783
01003,0011,108.0815708
01003,0012,79.08326636
01003,0015,33.78415411
01003,0017,6.773337138
01003,0020,1142
01003,0022,6.626785894
01003,0023,398.3632361
01005,0001,4.27005415
01005,0002,45.54219447
01005,0003,27.92084686
01005,0004,21.21012656
01005,0010,9.023363156
01005,0011,50.87854861
01005,0012,11.84600516
01005,0020,691.7496444
01005,0023,36.51883131
01007,0003,41.75911222
01007,0011,20.08720477
01007,0012,14.43841978
01007,0020,500.7443245
01007,0022,6.567298627
01007,0023,8.756398169
01009,0002,43.77997928
01009,0003,137.3589554
01009,0004,10.86696054
01009,0010,2.548198028
01009,0011,57.69510719
01009,0012,18.52588834
01009,0020,375.2264119
01009,0022,5.811996659
01011,0001,18.94305555
01011,0002,9.448741853
01011,0003,63.58892078
01011,0007,2.256814719
01011,0011,9.023363156
01011,0012,12.84491547
01011,0020,512.3494672
01011,0022,9.448741853
01013,0002,45.54219447
01013,0003,48.03356744
01013,0011,7.070699808
01013,0012,25.67125234
01013,0020,629.9184363
01013,0022,4.459858917
01015,0002,65.11824666
01015,0003,69.71354559
01015,0010,18.407565
01015,0011,84.7811333
01015,0012,18.24834145
01015,0020,304.2716712
01015,0023,8.995460695
01017,0002,18.47210502
01017,0003,29.31419322
01017,0007,7.086556389
01017,0011,23.04268386
01017,0012,17.73912039
01017,0020,484.5281715
01017,0022,4.552322661
01017,0023,6.855868275
01019,0002,68.56984409
01019,0003,41.99960223
01019,0007,7.056794988
01019,0011,35.25113089
01019,0012,17.07197613
01019,0020,396.6693692
01019,0022,3.232427217
01019,0023,45.69397741
01021,0001,2.373578425
01021,0002,6.855868275
01021,0003,77.78253945
01021,0010,9.023363156
01021,0011,68.21022583
01021,0012,11.27406875
01021,0020,526.0142243
01021,0023,3.089069905
01023,0002,0.223953921
01023,0003,6.957874502
01023,0004,8.310816802
01023,0007,11.74660382
01023,0011,21.38664152
01023,0012,40.45390723
01023,0020,831.4559092
01023,0022,1.950489744
01025,0001,5.171855789
01025,0002,16.62163361
01025,0003,34.70259344
01025,0007,15.13963849
01025,0011,19.14887656
01025,0012,30.26492542
01025,0020,1154
01025,0022,5.746696227
01025,0023,8.310816802
01027,0002,20.0043903
01027,0003,37.76368023
01027,0004,2.353026075
01027,0010,19.12423892
01027,0011,16.44719819
01027,0012,10.00682247
01027,0020,472.3324745
01029,0002,17.99092139
01029,0003,28.76821955
01029,0007,16.27340714
01029,0011,19.05608492
01029,0012,34.96965559
01029,0020,402.2099736
01029,0022,9.712134625
01031,0001,9.023363156
01031,0002,144.9102304
01031,0003,38.37874205
01031,0007,9.448741853
01031,0011,55.60058727
01031,0012,25.99759055
01031,0020,376.7232895
01031,0023,9.494313698
01033,0002,116.006012
01033,0003,61.61684019
01033,0010,18.42984955
01033,0011,39.41675661
01033,0012,39.54037102
01033,0017,9.466165816
01033,0020,355.4414474
01033,0023,18.83646408
01035,0001,2.704961633
01035,0002,11.01577843
01035,0003,38.43397617
01035,0007,10.93177639
01035,0011,29.52288558
01035,0012,33.0856318
01035,0020,701.3974052
01035,0022,9.277166003
01037,0002,16.45229744
01037,0003,25.36329817
01037,0011,26.03290073
01037,0012,5.185939066
01037,0017,7.059078227
01037,0020,586.8211561
01037,0023,27.33487169
01039,0001,12.95988132
01039,0002,49.88756206
01039,0003,73.18400748
01039,0004,9.031116184
01039,0007,8.930491286
01039,0010,2.257779045
01039,0011,38.72851222
01039,0012,29.73903661
01039,0017,1.398553581
01039,0020,764.3071735
01039,0022,9.174358577
01039,0023,13.78897505
01041,0001,16.51593438
01041,0002,9.448741853
01041,0003,46.94013208
01041,0004,3.679288552
01041,0011,25.30902852
01041,0012,12.05900203
01041,0020,493.8868219
01041,0022,3.0672045
01043,0002,123.9309283
01043,0003,123.5466302
01043,0004,22.5666328
01043,0011,82.57306484
01043,0012,7.77921588
01043,0015,16.00342342
01043,0020,361.891027
01043,0022,2.959485605
01043,0023,24.73751691
01045,0001,9.448741853
01045,0002,42.49767356
01045,0003,37.66606722
01045,0007,4.724370927
01045,0010,3.944630995
01045,0011,22.76069463
01045,0012,19.56110042
01045,0020,413.8326546
01045,0023,6.997281984
01047,0001,7.710392838
01047,0002,90.05142817
01047,0003,137.0822674
01047,0007,6.273085858
01047,0010,4.57057885
01047,0011,40.56048805
01047,0012,18.20535256
01047,0020,684.9701969
01047,0022,7.690004483
01047,0023,28.28927369
01049,0001,6.035422688
01049,0002,78.26927553
01049,0003,220.4541717
01049,0004,28.74738166
01049,0010,4.561300397
01049,0011,98.38270597
01049,0012,26.19952266
01049,0017,5.189465694
01049,0020,288.1283922
01051,0002,27.07008947
01051,0003,48.31002486
01051,0004,9.023363156
01051,0007,5.126331255
01051,0010,9.023363156
01051,0011,68.73025802
01051,0012,36.86741517
01051,0020,371.3335968
01051,0023,56.63155191
01053,0002,76.42348722
01053,0003,39.38004831
01053,0004,6.773337138
01053,0010,2.378929431
01053,0011,61.99146614
01053,0012,42.55701314
01053,0020,743.8198797
01053,0022,2.127194303
01053,0023,9.466917023
01055,0001,9.241302845
01055,0002,44.1832615
01055,0003,48.30158191
01055,0011,101.3328692
01055,0012,14.11235506
01055,0015,9.055817703
01055,0020,289.6394423
01055,0022,8.995460695
01055,0023,17.99092139
01057,0002,12.87180304
01057,0003,57.43196352
01057,0004,2.191999058
01057,0011,19.12017536
01057,0012,23.38824842
01057,0020,534.6915472
01059,0002,53.89780711
01059,0003,50.58882344
01059,0010,21.20300553
01059,0011,33.75274548
01059,0012,17.90834897
01059,0020,459.2018963
01059,0022,9.625735189
01059,0023,4.783348248
01061,0002,122.1935989
01061,0003,38.60052539
01061,0004,5.74855785
01061,0011,47.86552656
01061,0012,18.04672631
01061,0017,12.45326802
01061,0020,308.0141169
01061,0022,4.724370927
01063,0001,20.25745619
01063,0003,33.82881291
01063,0004,6.567298627
01063,0007,15.56120974
01063,0011,15.18665381
01063,0012,14.97079375
01063,0020,542.2950108
01063,0023,8.756398169
01065,0001,24.75190873
01065,0002,25.67080463
01065,0003,121.3831445
01065,0011,1.27291929
01065,0012,31.6334902
01065,0020,449.2469706
01065,0022,0.694773617
01065,0023,2.424294167
01067,0001,9.023363156
01067,0002,109.0326666
01067,0003,29.35370859
01067,0004,9.023363156
01067,0007,0.417101885
01067,0011,15.66122422
01067,0012,13.1746316
01067,0020,417.3291981
01067,0023,11.73403128
01069,0001,9.448741853
01069,0002,139.0785382
01069,0003,59.189572
01069,0004,7.086556389
01069,0011,67.14686336
01069,0012,8.387322228
01069,0020,271.3155351
01069,0022,9.448741853
01069,0023,14.23007759
01071,0001,6.758713133
01071,0002,144.1722569
01071,0003,93.06811036
01071,0011,50.52981294
01071,0012,69.68096417
01071,0020,703.736706
01071,0022,9.418232039
01071,0023,55.69616319
01073,0002,2.353026075
01073,0003,27.91739586
01073,0007,12.2322953
01073,0010,55.09903944
01073,0011,331.8097975
01073,0012,67.24462764
01073,0015,2.103210003
01073,0020,595.8463208
01073,0022,2.353026075
01073,0023,8.995460695
01075,0002,8.457203227
01075,0003,15.3236968
01075,0004,7.2728825
01075,0007,5.226861284
01075,0010,6.692894364
01075,0011,35.17882531
01075,0012,23.71861859
01075,0020,529.2834901
01075,0022,1.097332512
01077,0001,7.099624361
01077,0002,163.0184196
01077,0003,88.32526145
01077,0011,96.29146194
01077,0012,18.29911428
01077,0015,9.418232039
01077,0020,289.4461828
01077,0022,2.151555363
01077,0023,37.26631363
01079,0002,164.6529945
01079,0003,63.26810538
01079,0011,56.29451281
01079,0012,12.6519153
01079,0017,9.011617511
01079,0020,351.8401739
01079,0022,7.478242595
01081,0002,0.674891673
01081,0003,42.04353272
01081,0004,7.086556389
01081,0007,9.448741853
01081,0010,17.20174866
01081,0011,121.4031151
01081,0012,36.43043369
01081,0015,9.448741853
01081,0020,382.8605931
01083,0002,201.8085269
01083,0003,53.36666652
01083,0004,25.08896727
01083,0011,84.90788969
01083,0012,30.92558405
01083,0020,154.1194768
01083,0022,0.724651199
01083,0023,37.67292816
01085,0001,2.285289425
01085,0002,18.04672631
01085,0003,182.6656583
01085,0011,20.17239417
01085,0012,26.71519828
01085,0017,6.855868275
01085,0020,493.3627957
01087,0001,1.97626988
01087,0003,46.81833056
01087,0004,11.73403128
01087,0007,2.076102588
01087,0011,28.50357986
01087,0012,24.91801436
01087,0020,506.6877152
01087,0022,1.909543842
01089,0001,10.64093881
01089,0002,236.806007
01089,0003,21.60642028
01089,0010,9.418232039
01089,0011,144.3008311
01089,0012,68.20863983
01089,0020,324.8464239
01089,0022,12.37937706
01089,0023,18.42984955
01091,0001,8.474577336
01091,0002,35.56412942
01091,0003,129.259935
01091,0004,6.957874502
01091,0007,8.17484545
01091,0011,18.94249583
01091,0012,31.80923572
01091,0020,749.6214792
01091,0022,3.063878333
01091,0023,11.59802822
01093,0002,17.83646591
01093,0003,35.4753793
01093,0004,5.025538222
01093,0010,8.457203227
01093,0011,66.08758045
01093,0012,34.48463795
01093,0020,570.392032
01093,0022,3.209290316
01095,0002,63.6264295
01095,0003,101.6825341
01095,0004,27.03485253
01095,0007,9.011617511
01095,0010,9.466165816
01095,0011,99.79194913
01095,0012,11.52767901
01095,0020,246.8485593
01095,0023,36.85969909
01097,0001,11.74952207
01097,0002,9.174358577
01097,0003,52.99113463
01097,0004,9.031116184
01097,0010,25.0742657
01097,0011,220.1974929
01097,0012,94.42502031
01097,0015,11.32470583
01097,0017,18.06223238
01097,0020,776.4408064
01097,0022,4.980915139
01097,0023,398.5064785
01099,0001,11.59802822
01099,0002,45.15236525
01099,0003,7.795505225
01099,0004,5.409923266
01099,0007,6.957874502
01099,0011,15.2686913
01099,0012,33.03945375
01099,0020,893.9239526
01099,0023,8.310816802
01101,0001,5.272287341
01101,0002,9.023363156
01101,0003,205.8160821
01101,0004,18.8974837
01101,0007,6.855868275
01101,0010,9.892528192
01101,0011,92.83626473
01101,0012,16.4584022
01101,0015,9.023363156
01101,0020,411.080359
01101,0023,9.2294467
01103,0002,35.6814397
01103,0003,91.7248637
01103,0004,16.11124188
01103,0011,110.7702715
01103,0012,34.83554045
01103,0020,301.0932901
01103,0022,7.21957087
01103,0023,18.83646408
01105,0002,39.16770597
01105,0003,81.97174869
01105,0007,5.025538222
01105,0011,3.061534434
01105,0012,13.32708272
01105,0020,539.7722455
01105,0022,2.550648378
01105,0023,8.756398169
01107,0002,59.20042258
01107,0003,26.96548289
01107,0011,30.8721628
01107,0012,23.50563588
01107,0020,744.4408034
01107,0023,8.756398169
01109,0001,11.0724408
01109,0002,66.65703853
01109,0003,35.46530239
01109,0007,3.81241123
01109,0011,29.20368444
01109,0012,12.24375746
01109,0017,9.1411577
01109,0020,481.6652813
01109,0022,9.494313698
01109,0023,6.932764313
01111,0002,33.52550595
01111,0003,51.18944861
01111,0011,34.21154186
01111,0012,7.839992
01111,0020,448.1877851
01111,0023,17.99092139
01113,0002,21.21166208
01113,0003,18.47210502
01113,0004,9.023363156
01113,0007,10.93810055
01113,0010,9.448741853
01113,0011,44.64198991
01113,0012,13.13360628
01113,0020,477.9916487
01113,0022,2.285289425
01113,0023,9.023363156
01115,0002,37.12134111
01115,0003,32.90815809
01115,0010,8.995460695
01115,0011,58.41947792
01115,0012,12.33429572
01115,0020,487.2737886
01115,0022,9.712134625
01115,0023,45.69397741
01117,0002,37.04700631
01117,0003,71.40953545
01117,0010,15.52724201
01117,0011,77.54396075
01117,0012,32.07274928
01117,0020,528.567101
01117,0022,8.152644619
01117,0023,27.70225016
01119,0001,8.310816802
01119,0002,22.8547462
01119,0003,62.05485508
01119,0007,2.3192915
01119,0011,29.58879631
01119,0012,47.37860178
01119,0017,4.641724441
01119,0020,704.2509108
01119,0022,7.158913038
01121,0002,79.00413409
01121,0003,19.12423892
01121,0004,17.24713352
01121,0010,9.712134625
01121,0011,75.60847281
01121,0012,36.75187567
01121,0020,485.4920754
01121,0022,8.995460695
01123,0001,2.569405747
01123,0002,18.04672631
