objectid,state_cnty_fips,state_name,cnty_name, foresland_acres , forest land sq miles ,size,% forest land,,,,,
141,05143,Arkansas,Washington,"325,788",489,956,51%,,,,,
142,05145,Arkansas,White,"239,756",360,1042,35%,,,,,
143,05147,Arkansas,Woodruff,"113,932",171,594,29%,,,,,
144,05149,Arkansas,Yell,"483,441",725,949,76%,,,,,
145,06001,California,Alameda,"113,712",171,821,21%,,,,,
146,06003,California,Alpine,"388,783",583,743,78%,,,,,
147,06005,California,Amador,"219,238",329,604,54%,,,,,
148,06007,California,Butte,"553,486",830,1677,50%,,,,,
149,06009,California,Calaveras,"509,868",765,1037,74%,,,,,
150,06011,California,Colusa,"207,530",311,1156,27%,,,,,
151,06013,California,Contra Costa,"51,738",78,802,10%,,,,,
152,06015,California,Del Norte,"647,575",971,1230,79%,,,,,
153,06017,California,El Dorado,"842,492","1,264",1791,71%,,,,,
154,06019,California,Fresno,"1,193,264","1,790",6018,30%,,,,,
155,06021,California,Glenn,"197,362",296,1327,22%,,,,,
156,06023,California,Humboldt,"1,666,705","2,500",4053,62%,,,,,
157,06025,California,Imperial,"6,090",9,4482,0%,,,,,
158,06027,California,Inyo,"505,080",758,10228,7%,,,,,
159,06029,California,Kern,"714,978","1,072",8162,13%,,,,,
160,06031,California,Kings,-1,0,1392,0%,,,,,
161,06033,California,Lake,"368,367",553,1330,42%,,,,,
162,06035,California,Lassen,"1,340,794","2,011",4721,43%,,,,,
163,06037,California,Los Angeles,"195,351",293,4752,6%,,,,,
164,06039,California,Madera,"630,350",946,2153,44%,,,,,
165,06041,California,Marin,"91,754",138,828,17%,,,,,
166,06043,California,Mariposa,"640,457",961,1463,66%,,,,,
167,06045,California,Mendocino,"1,671,351","2,507",3879,65%,,,,,
168,06047,California,Merced,"32,207",48,1972,2%,,,,,
169,06049,California,Modoc,"1,338,331","2,007",4204,48%,,,,,
170,06051,California,Mono,"803,562","1,205",3132,38%,,,,,
171,06053,California,Monterey,"462,028",693,3771,18%,,,,,
172,06055,California,Napa,"176,398",265,788,34%,,,,,
173,06057,California,Nevada,"424,869",637,975,65%,,,,,
174,06059,California,Orange,"2,175",3,948,0%,,,,,
175,06061,California,Placer,"620,012",930,1500,62%,,,,,
176,06063,California,Plumas,"1,482,862","2,224",2614,85%,,,,,
177,06065,California,Riverside,"105,102",158,7304,2%,,,,,
178,06067,California,Sacramento,"11,934",18,996,2%,,,,,
179,06069,California,San Benito,"130,253",195,1391,14%,,,,,
180,06077,California,San Joaquin,"13,742",21,1426,1%,,,,,
181,06079,California,San Luis Obispo,"242,741",364,3616,10%,,,,,
182,06081,California,San Mateo,"86,496",130,741,18%,,,,,
183,06083,California,Santa Barbara,"233,680",351,3790,9%,,,,,
184,06085,California,Santa Clara,"272,530",409,1305,31%,,,,,
185,06087,California,Santa Cruz,"210,933",316,608,52%,,,,,
186,06089,California,Shasta,"1,856,094","2,784",3848,72%,,,,,
187,06091,California,Sierra,"536,059",804,962,84%,,,,,
188,06093,California,Siskiyou,"3,102,498","4,654",6348,73%,,,,,
189,06095,California,Solano,"28,777",43,907,5%,,,,,
190,06097,California,Sonoma,"440,631",661,1768,37%,,,,,
191,06099,California,Stanislaus,"103,057",155,1515,10%,,,,,
192,06101,California,Sutter,"9,659",14,609,2%,,,,,
193,06103,California,Tehama,"958,736","1,438",2962,49%,,,,,
194,06105,California,Trinity,"1,836,414","2,755",3208,86%,,,,,
195,06107,California,Tulare,"1,350,956","2,026",4839,42%,,,,,
196,06109,California,Tuolumne,"1,079,526","1,619",2275,71%,,,,,
197,06111,California,Ventura,"233,819",351,2208,16%,,,,,
198,06113,California,Yolo,"62,292",93,1023,9%,,,,,
199,06115,California,Yuba,"191,617",287,644,45%,,,,,
200,08001,Colorado,Adams,"1,452",2,1198,0%,,,,,
201,08003,Colorado,Alamosa,"28,199",42,724,6%,,,,,
202,08005,Colorado,Arapahoe,"5,728",9,805,1%,,,,,
203,08007,Colorado,Archuleta,"710,878","1,066",1355,79%,,,,,
204,08009,Colorado,Baca,"25,477",38,2557,1%,,,,,
205,08011,Colorado,Bent,"31,817",48,1541,3%,,,,,
206,08013,Colorado,Boulder,"240,145",360,751,48%,,,,,
207,08015,Colorado,Chaffee,"412,176",618,1015,61%,,,,,
208,08017,Colorado,Cheyenne,-1,0,1782,0%,,,,,
209,08019,Colorado,Clear Creek,"169,252",254,396,64%,,,,,
210,08021,Colorado,Conejos,"268,672",403,1291,31%,,,,,
211,08023,Colorado,Costilla,"297,956",447,1231,36%,,,,,
212,08025,Colorado,Crowley,-1,0,800,0%,,,,,
213,08027,Colorado,Custer,"245,228",368,740,50%,,,,,
214,08029,Colorado,Delta,"331,788",498,1149,43%,,,,,
215,08031,Colorado,Denver,-1,0,155,0%,,,,,
216,08033,Colorado,Dolores,"401,778",603,1068,56%,,,,,
217,08035,Colorado,Douglas,"229,923",345,843,41%,,,,,
218,08037,Colorado,Eagle,"758,328","1,137",1692,67%,,,,,
219,08039,Colorado,Elbert,"34,008",51,1851,3%,,,,,
220,08041,Colorado,El Paso,"230,432",346,2130,16%,,,,,
221,08043,Colorado,Fremont,"695,061","1,043",1534,68%,,,,,
222,08045,Colorado,Garfield,"1,255,323","1,883",2956,64%,,,,,
223,08047,Colorado,Gilpin,"92,728",139,150,93%,,,,,
224,08049,Colorado,Grand,"769,040","1,154",1870,62%,,,,,
225,08051,Colorado,Gunnison,"1,218,242","1,827",3260,56%,,,,,
226,08053,Colorado,Hinsdale,"403,412",605,1123,54%,,,,,
227,08055,Colorado,Huerfano,"425,653",638,1593,40%,,,,,
228,08057,Colorado,Jackson,"423,144",635,1621,39%,,,,,
229,08059,Colorado,Jefferson,"293,269",440,778,57%,,,,,
230,08061,Colorado,Kiowa,-1,0,1786,0%,,,,,
231,08063,Colorado,Kit Carson,-1,0,2162,0%,,,,,
232,08065,Colorado,Lake,"125,384",188,384,49%,,,,,
233,08067,Colorado,La Plata,"758,484","1,138",1700,67%,,,,,
234,08069,Colorado,Larimer,"885,866","1,329",2634,50%,,,,,
235,08071,Colorado,Las Animas,"940,212","1,410",4776,30%,,,,,
236,08073,Colorado,Lincoln,-1,0,2587,0%,,,,,
237,08075,Colorado,Logan,"6,118",9,1845,0%,,,,,
238,08077,Colorado,Mesa,"1,301,268","1,952",3341,58%,,,,,
239,08079,Colorado,Mineral,"392,765",589,878,67%,,,,,
240,08081,Colorado,Moffat,"761,648","1,142",4751,24%,,,,,
241,08083,Colorado,Montezuma,"701,821","1,053",2040,52%,,,,,
242,08085,Colorado,Montrose,"960,143","1,440",2243,64%,,,,,
243,08087,Colorado,Morgan,"2,836",4,1294,0%,,,,,
244,08089,Colorado,Otero,"29,901",45,1270,4%,,,,,
245,08091,Colorado,Ouray,"231,637",347,542,64%,,,,,
246,08093,Colorado,Park,"692,750","1,039",2211,47%,,,,,
247,05073,Arkansas,Lafayette,"209,192",314,545,58%,,,,,
248,05075,Arkansas,Lawrence,"96,626",145,592,24%,,,,,
249,05077,Arkansas,Lee,"90,977",136,620,22%,,,,,
250,05079,Arkansas,Lincoln,"141,816",213,572,37%,,,,,
251,05081,Arkansas,Little River,"196,594",295,565,52%,,,,,
252,05083,Arkansas,Logan,"264,111",396,732,54%,,,,,
253,05085,Arkansas,Lonoke,"122,451",184,802,23%,,,,,
254,05087,Arkansas,Madison,"326,243",489,837,58%,,,,,
255,05089,Arkansas,Marion,"254,270",381,640,60%,,,,,
256,05091,Arkansas,Miller,"197,514",296,638,46%,,,,,
257,05093,Arkansas,Mississippi,"29,789",45,920,5%,,,,,
258,05095,Arkansas,Monroe,"189,075",284,621,46%,,,,,
259,05097,Arkansas,Montgomery,"415,530",623,800,78%,,,,,
260,05099,Arkansas,Nevada,"328,426",493,621,79%,,,,,
261,05101,Arkansas,Newton,"418,835",628,823,76%,,,,,
262,05103,Arkansas,Ouachita,"398,871",598,740,81%,,,,,
263,05105,Arkansas,Perry,"280,015",420,561,75%,,,,,
264,05107,Arkansas,Phillips,"100,760",151,727,21%,,,,,
265,05109,Arkansas,Pike,"309,348",464,614,76%,,,,,
266,05111,Arkansas,Poinsett,"77,070",116,763,15%,,,,,
267,05113,Arkansas,Polk,"431,747",648,862,75%,,,,,
268,05115,Arkansas,Pope,"386,112",579,831,70%,,,,,
269,05117,Arkansas,Prairie,"115,383",173,676,26%,,,,,
270,05119,Arkansas,Pulaski,"229,934",345,808,43%,,,,,
271,05121,Arkansas,Randolph,"186,710",280,656,43%,,,,,
272,05123,Arkansas,St. Francis,"100,711",151,642,24%,,,,,
273,05125,Arkansas,Saline,"325,559",488,731,67%,,,,,
274,05127,Arkansas,Scott,"460,442",691,898,77%,,,,,
275,08119,Colorado,Teller,"276,817",415,559,74%,,,,,
276,08121,Colorado,Washington,-1,0,2524,0%,,,,,
277,08123,Colorado,Weld,-1,0,4022,0%,,,,,
278,08125,Colorado,Yuma,"4,425",7,2369,0%,,,,,
279,09001,Connecticut,Fairfield,"161,346",242,837,29%,,,,,
280,09003,Connecticut,Hartford,"212,151",318,751,42%,,,,,
281,09005,Connecticut,Litchfield,"433,339",650,945,69%,,,,,
282,09007,Connecticut,Middlesex,"163,368",245,439,56%,,,,,
283,09009,Connecticut,New Haven,"180,453",271,862,31%,,,,,
284,09011,Connecticut,New London,"243,178",365,772,47%,,,,,
285,09013,Connecticut,Tolland,"179,997",270,417,65%,,,,,
286,09015,Connecticut,Windham,"216,269",324,522,62%,,,,,
287,10001,Delaware,Kent,"109,304",164,800,20%,,,,,
288,10003,Delaware,New Castle,"57,750",87,494,18%,,,,,
289,10005,Delaware,Sussex,"189,010",284,1196,24%,,,,,
290,11001,District of Columbia,District of Columbia,-1,0,68,0%,,,,,
291,12001,Florida,Alachua,-1,0,969,0%,,,,,
292,12003,Florida,Baker,-1,0,589,0%,,,,,
293,12005,Florida,Bay,-1,0,1033,0%,,,,,
294,12007,Florida,Bradford,-1,0,300,0%,,,,,
295,12009,Florida,Brevard,-1,0,1557,0%,,,,,
296,12011,Florida,Broward,-1,0,1320,0%,,,,,
297,12013,Florida,Calhoun,-1,0,574,0%,,,,,
298,12015,Florida,Charlotte,-1,0,859,0%,,,,,
299,12017,Florida,Citrus,-1,0,773,0%,,,,,
300,12019,Florida,Clay,-1,0,644,0%,,,,,
301,12021,Florida,Collier,-1,0,2305,0%,,,,,
302,12023,Florida,Columbia,-1,0,801,0%,,,,,
303,12027,Florida,DeSoto,-1,0,640,0%,,,,,
304,12029,Florida,Dixie,-1,0,864,0%,,,,,
305,12031,Florida,Duval,-1,0,918,0%,,,,,
306,12033,Florida,Escambia,-1,0,894,0%,,,,,
307,12035,Florida,Flagler,-1,0,571,0%,,,,,
308,12037,Florida,Franklin,-1,0,1026,0%,,,,,
309,12039,Florida,Gadsden,-1,0,529,0%,,,,,
310,12041,Florida,Gilchrist,-1,0,355,0%,,,,,
311,12043,Florida,Glades,-1,0,986,0%,,,,,
312,12045,Florida,Gulf,-1,0,756,0%,,,,,
313,12047,Florida,Hamilton,-1,0,519,0%,,,,,
314,12049,Florida,Hardee,-1,0,638,0%,,,,,
315,12051,Florida,Hendry,-1,0,1190,0%,,,,,
316,12053,Florida,Hernando,-1,0,589,0%,,,,,
317,12055,Florida,Highlands,-1,0,1106,0%,,,,,
318,12057,Florida,Hillsborough,-1,0,1266,0%,,,,,
319,12059,Florida,Holmes,-1,0,489,0%,,,,,
320,12061,Florida,Indian River,-1,0,617,0%,,,,,
321,12063,Florida,Jackson,-1,0,955,0%,,,,,
322,12065,Florida,Jefferson,-1,0,637,0%,,,,,
323,12067,Florida,Lafayette,-1,0,548,0%,,,,,
324,12069,Florida,Lake,-1,0,1157,0%,,,,,
325,12071,Florida,Lee,-1,0,1212,0%,,,,,
326,12073,Florida,Leon,-1,0,702,0%,,,,,
327,12075,Florida,Levy,-1,0,1412,0%,,,,,
328,12077,Florida,Liberty,-1,0,843,0%,,,,,
329,12079,Florida,Madison,-1,0,716,0%,,,,,
330,12081,Florida,Manatee,-1,0,893,0%,,,,,
331,12083,Florida,Marion,-1,0,1663,0%,,,,,
332,12085,Florida,Martin,-1,0,753,0%,,,,,
333,12025,Florida,Miami-Dade,-1,0,not,,,,,,
334,12087,Florida,Monroe,-1,0,3737,0%,,,,,
335,12089,Florida,Nassau,-1,0,726,0%,,,,,
336,12091,Florida,Okaloosa,-1,0,1082,0%,,,,,
337,12093,Florida,Okeechobee,-1,0,892,0%,,,,,
338,12095,Florida,Orange,-1,0,1004,0%,,,,,
339,12097,Florida,Osceola,-1,0,1506,0%,,,,,
340,12099,Florida,Palm Beach,-1,0,2387,0%,,,,,
341,12101,Florida,Pasco,-1,0,868,0%,,,,,
342,12103,Florida,Pinellas,-1,0,608,0%,,,,,
343,12105,Florida,Polk,-1,0,2010,0%,,,,,
344,12107,Florida,Putnam,-1,0,827,0%,,,,,
345,12109,Florida,St. Johns,-1,0,821,0%,,,,,
346,12111,Florida,St. Lucie,-1,0,688,0%,,,,,
347,12113,Florida,Santa Rosa,-1,0,1155,0%,,,,,
348,12115,Florida,Sarasota,-1,0,725,0%,,,,,
349,12117,Florida,Seminole,-1,0,345,0%,,,,,
350,12119,Florida,Sumter,-1,0,580,0%,,,,,
351,12121,Florida,Suwannee,-1,0,692,0%,,,,,
352,12123,Florida,Taylor,-1,0,1232,0%,,,,,
353,12125,Florida,Union,-1,0,250,0%,,,,,
354,12127,Florida,Volusia,-1,0,1433,0%,,,,,
355,12129,Florida,Wakulla,-1,0,736,0%,,,,,
356,12131,Florida,Walton,-1,0,1238,0%,,,,,
357,12133,Florida,Washington,-1,0,616,0%,,,,,
358,13001,Georgia,Appling,-1,0,512,0%,,,,,
359,13003,Georgia,Atkinson,-1,0,344,0%,,,,,
360,13005,Georgia,Bacon,-1,0,286,0%,,,,,
361,13007,Georgia,Baker,-1,0,349,0%,,,,,
362,13009,Georgia,Baldwin,-1,0,268,0%,,,,,
363,13011,Georgia,Banks,-1,0,234,0%,,,,,
364,13013,Georgia,Barrow,-1,0,163,0%,,,,,
365,13015,Georgia,Bartow,-1,0,471,0%,,,,,
366,13017,Georgia,Ben Hill,-1,0,254,0%,,,,,
367,13019,Georgia,Berrien,-1,0,458,0%,,,,,
368,13021,Georgia,Bibb,-1,0,255,0%,,,,,
369,13023,Georgia,Bleckley,-1,0,219,0%,,,,,
370,13025,Georgia,Brantley,-1,0,447,0%,,,,,
371,13027,Georgia,Brooks,-1,0,498,0%,,,,,
372,13029,Georgia,Bryan,-1,0,455,0%,,,,,
373,13031,Georgia,Bulloch,-1,0,689,0%,,,,,
374,13033,Georgia,Burke,-1,0,835,0%,,,,,
375,13035,Georgia,Butts,-1,0,190,0%,,,,,
376,13037,Georgia,Calhoun,-1,0,284,0%,,,,,
377,13039,Georgia,Camden,-1,0,783,0%,,,,,
378,13043,Georgia,Candler,-1,0,249,0%,,,,,
379,13045,Georgia,Carroll,-1,0,504,0%,,,,,
380,13047,Georgia,Catoosa,-1,0,163,0%,,,,,
381,13049,Georgia,Charlton,-1,0,783,0%,,,,,
382,13051,Georgia,Chatham,-1,0,646,0%,,,,,
383,13053,Georgia,Chattahoochee,-1,0,251,0%,,,,,
384,13055,Georgia,Chattooga,-1,0,314,0%,,,,,
385,13057,Georgia,Cherokee,-1,0,434,0%,,,,,
386,13059,Georgia,Clarke,-1,0,121,0%,,,,,
387,13061,Georgia,Clay,-1,0,217,0%,,,,,
388,13063,Georgia,Clayton,-1,0,144,0%,,,,,
389,13065,Georgia,Clinch,-1,0,824,0%,,,,,
390,13067,Georgia,Cobb,-1,0,345,0%,,,,,
391,13069,Georgia,Coffee,-1,0,603,0%,,,,,
392,13071,Georgia,Colquitt,-1,0,557,0%,,,,,
393,13073,Georgia,Columbia,-1,0,308,0%,,,,,
394,13075,Georgia,Cook,-1,0,233,0%,,,,,
395,13077,Georgia,Coweta,-1,0,446,0%,,,,,
396,13079,Georgia,Crawford,-1,0,326,0%,,,,,
397,13081,Georgia,Crisp,-1,0,281,0%,,,,,
398,13083,Georgia,Dade,-1,0,174,0%,,,,,
399,13085,Georgia,Dawson,-1,0,214,0%,,,,,
400,13087,Georgia,Decatur,-1,0,623,0%,,,,,
401,13089,Georgia,DeKalb,-1,0,271,0%,,,,,
402,13091,Georgia,Dodge,-1,0,503,0%,,,,,
403,13093,Georgia,Dooly,-1,0,397,0%,,,,,
404,13095,Georgia,Dougherty,-1,0,335,0%,,,,,
405,13097,Georgia,Douglas,-1,0,200,0%,,,,,
406,13099,Georgia,Early,-1,0,516,0%,,,,,
407,13101,Georgia,Echols,-1,0,421,0%,,,,,
408,13103,Georgia,Effingham,-1,0,483,0%,,,,,
409,13105,Georgia,Elbert,-1,0,375,0%,,,,,
410,13107,Georgia,Emanuel,-1,0,690,0%,,,,,
411,13109,Georgia,Evans,-1,0,187,0%,,,,,
412,13111,Georgia,Fannin,-1,0,391,0%,,,,,
413,13113,Georgia,Fayette,-1,0,199,0%,,,,,
414,13115,Georgia,Floyd,-1,0,519,0%,,,,,
415,13117,Georgia,Forsyth,-1,0,247,0%,,,,,
416,13119,Georgia,Franklin,-1,0,266,0%,,,,,
417,13121,Georgia,Fulton,-1,0,535,0%,,,,,
418,13123,Georgia,Gilmer,-1,0,432,0%,,,,,
419,13125,Georgia,Glascock,-1,0,144,0%,,,,,
420,13127,Georgia,Glynn,-1,0,583,0%,,,,,
421,13129,Georgia,Gordon,-1,0,358,0%,,,,,
422,13131,Georgia,Grady,-1,0,460,0%,,,,,
423,13133,Georgia,Greene,-1,0,406,0%,,,,,
424,13135,Georgia,Gwinnett,-1,0,437,0%,,,,,
425,13137,Georgia,Habersham,-1,0,279,0%,,,,,
426,13139,Georgia,Hall,-1,0,429,0%,,,,,
427,13141,Georgia,Hancock,-1,0,479,0%,,,,,
428,13145,Georgia,Harris,-1,0,473,0%,,,,,
429,13147,Georgia,Hart,-1,0,256,0%,,,,,
430,13149,Georgia,Heard,-1,0,301,0%,,,,,
431,13151,Georgia,Henry,-1,0,324,0%,,,,,
432,08095,Colorado,Phillips,-1,0,688,0%,,,,,
433,08097,Colorado,Pitkin,"399,198",599,973,62%,,,,,
434,08099,Colorado,Prowers,-1,0,1644,0%,,,,,
435,08101,Colorado,Pueblo,"194,029",291,2398,12%,,,,,
