unit_code
BAND
ACAD
AGFO
BIBE
CACH
CANY
CARE
CAGR
BISC
BOWA
COLM
ROMO
CRLA
CRMO
DEVA
DINO
FOST
ELMA
EVER
FOMA
FOPU
GEWA
GUMO
GRCA
GRPO
GRTE
GRBA
GRSM
CAVO
HAFO
HALE
PIMA
ISRO
JECA
JODA
ORPI
CHIR
COSW
VIIS
MOCA
MIIN
NOCA
MORA
MUWO
NPSA
NABR
NAVA
OCMU
OLYM
ORCA
PETR
PINN
POPO
RABR
REDW
RUCA
SAGU
SAPU
KATM
KEFJ
SHEN
STLI
FOFR
ZION
BLCA
LIBI
GICL
MACA
TUZI
YOSE
YUHO
HOME
SCBL
GRSA
CASA
TICA
FOSU
WUPA
WICA
FLFO
DETO
TONT
BUIS
GLAC
CEBR
ARCH
SUCR
PISP
ELMO
VOYA
CHIS
CACL
JOTR
GOIS
FOBU
EFMO
THRO
HOVE
PIPE
FOUN
WACA
HOSP
PEFO
AZRU
LABE
DRTO
ANIA
CAKR
DENA
GAAR
GLBA
KOVA
LACL
WRST
BADL
CAVE
WHSA
ALFL
BRCA
CUVA
GWCA
DEPO
VICR
HAVO
LAVO
YELL
AFBG
MEVE
KICA
SEQU
CABR
